Hochschule_Name_GENESIS;Stadt;Bundesland
A.K. Akad., Bad Saarow (Priv. FH) (2010 aufgelöst);Bad Saarow;Brandenburg
Adam-Ries-FH Erf.in Düsseld.(Priv.)(ab 14 zu 5720);Düsseldorf;Nordrhein-Westfalen
Alanus H, Alfter (Priv. KH);Alfter;Nordrhein-Westfalen
AMD Akad.Mode Idst. i.Hmb. (P.FH) (2018 zu HS6285);Hamburg;Hamburg
Augustana-Hochschule Neuendettelsau (evangelisch);Neuendettelsau;Bayern
DIPLOMA-FH Nordhess.i.B.Sooden-Allendorf (Priv.FH);Bad Sooden-Allendorf;Hessen
Dt. H f.Präv.u.Gesundh.managem. Saarbr. (Priv. FH);Saarbrücken;Saarland
Duale HS Baden-Württemberg in Heidenheim;Heidenheim an der Brenz;Baden-Württemberg
Duale HS BW. in Stuttg., FB Verw. (2015 aufgelöst);Stuttgart;Baden-Württemberg
Duale HS Sachsen in Breitenbrunn (FH);Breitenbrunn/Erzgebirge;Sachsen
EBC H Hamb. Campus Düsseld. (Pr.FH)(2022 aufgel.);Düsseldorf;Nordrhein-Westfalen
EBS U für Wirt. u. R. Wiesb. in Oestrich-W.(Priv.);Oestrich-Winkel;Hessen
Euro-Busin.-Coll.Dresd. (Priv.FH)(ab 13 zu HS0880);Dresden;Sachsen
Europ. FH Rhein/Erft (Priv. FH)(ab 2010 HS6411/12);Brühl;Nordrhein-Westfalen
Ev. Hochschule Moritzburg (FH) (ab 21 zu HS5110);Moritzburg;Sachsen
Ev.FH Reutl.-Ludwigsb.in Ludwigsb.(ab 2005 HS7190);Ludwigsburg;Baden-Württemberg
Evangelische FH Ludwigshafen (ab 2008 zu HS6650);Ludwigshafen am Rhein;Rheinland-Pfalz
Fachhochschule für Sozialwesen Esslingen;Esslingen am Neckar;Baden-Württemberg
FH Braunschw.-Wolfenb. in Braun. (2010 aufgelöst);Braunschweig;Niedersachsen
FH der Dt. Telekom AG, Dieburg (ab 2000 HS6212);Dieburg;Hessen
FH f. Interkultur. Theologie Hermannsburg (Priv.);Hermannsburg;Niedersachsen
FH f.Bibliothekswesen Frankf.a.M. (2003 aufgelöst);Frankfurt am Main;Hessen
FH f.Forstwirt.,Schwarzburg (VerwFH) (09 aufgel.);Schwarzburg;Thüringen
FH f.öff.Verw., FB Polizei,Lautzenh.(2016 aufgel.);Lautzenhausen;Rheinland-Pfalz
FH f.öff.Vw.,S.-Anh.,Benneckenstein (1999 aufgel.);Benneckenstein (Harz);Sachsen-Anhalt
FH f.öffentl.Verw. Brandenb.i.Bernau(2000 aufgel.);Bernau bei Berlin;Brandenburg
FH für Rechtspflege NW, Bad Münstereifel (VerwFH);Bad Münstereifel;Nordrhein-Westfalen
FH für Verw. und Dienstl. in Altenholz (VerwFH);Altenholz;Schleswig-Holstein
FH für Verw. und Dienstl. in Reinfeld (VerwFH);Reinfeld (Holstein);Schleswig-Holstein
FH Hildesh./H/G in Hildesh. (Soz.)(ab 2006 HS5382);Hildesheim;Niedersachsen
FH Hildesh./H/G in Hildesh.(Gest.)(ab 2006 HS5382);Hildesheim;Niedersachsen
FH Nordostnieders. in Suderburg (ab 2005 HS0993);Suderburg;Niedersachsen
FH Ol./Ostfr./Wilhelmsh. i.Oldenb.(ab 2010 HS4981);Oldenburg;Niedersachsen
FH Ol./Ostfr./Wilhelmsh. in Whv. (ab 2010 HS4982);Wilhelmshaven;Niedersachsen
FH Ol./Ostfr./Wilhelmsh.i.Elsfleth(ab 2010 HS4983);Elsfleth;Niedersachsen
FH Ottersberg (Priv. FH);Ottersberg;Niedersachsen
Filmuniversität Babelsberg;Potsdam;Brandenburg
Frankfurt Sch. of Finance & Managem.-HfB (Priv. U);Frankfurt am Main;Hessen
H Aalen - Techn.u.Wirtschaft in Schwäb. Gmünd (FH);Schwäbisch Gmünd;Baden-Württemberg
H Aalen - Technik und Wirtschaft in Aalen (FH);Aalen;Baden-Württemberg
H d.Deutschen Bundesbank Hachenburg (Priv. VerwFH);Hachenburg;Rheinland-Pfalz
H der Polizei Rheinl.-Pf. in Büchenbeuren (VerwFH);Büchenbeuren;Rheinland-Pfalz
H der sächsischen Polizei, Rothenburg (VerwFH);Rothenburg/Oberlausitz;Sachsen
H f. Bildende Künste - Städelschule Frankfurt a.M.;Frankfurt am Main;Hessen
H f. Kunst Freib. i.Fr. (Priv.FH) (2018 zu HS0036);Freiburg im Breisgau;Baden-Württemberg
H f. Kunst Freib.i.Bln. (Priv.FH) (2018 zu HS0032);Berlin;Berlin
H f. P.u.öff.V.NW in Dortm.(VerwFH)(01-16 aufgel.);Dortmund;Nordrhein-Westfalen
H f.a.W. Weihenstephan-Triesdorf in Triesdorf (FH);Triesdorf;Bayern
H f.a.W. Weihenstephan-Triesdorf in Weihenst. (FH);Freising;Bayern
H f.angew.Wiss.d.Bundesagentur f.Arbeit,Mannh.(FH);Mannheim;Baden-Württemberg
H f.d. öff. D. in Bayern Dorfen (Sozialverwaltung);Dorfen;Bayern
H f.d. öff. D. in Bayern Fürstenfeldbr. (Polizei);Fürstenfeldbruck;Bayern
H f.d. öff. D. in Bayern Herrsching (Finanzwesen);Herrsching am Ammersee;Bayern
H f.d. öff. D. in Bayern Sulzbach-Rosenb.(Polizei);Sulzbach-Rosenberg;Bayern
H f.d. öff. D. in Bayern Wasserburg (Sozialverw.);Wasserburg am Inn;Bayern
H f.digitale Medienprod.,Elstal (Germ.Film School);Wustermark;Brandenburg
H f.M.u.D.K.Heidelb.-M.,Heidelb. (2002 aufgelöst);Heidelberg;Baden-Württemberg
H f.P.u.öff.V.NW i.Mülheim (VerwFH)(2023 zu 6074);Mülheim an der Ruhr;Nordrhein-Westfalen
H f.Techn.u.Wirtsch.Furtwangen (FH) in Furtwangen;Furtwangen im Schwarzwald;Baden-Württemberg
H f.Techn.u.Wirtsch.Furtwangen (FH) in Vill.-Schw.;Villingen-Schwenningen;Baden-Württemberg
H für angewandtes Management, Ismaning (Priv. FH);Ismaning;Bayern
H für Finanzen NW in Nordkirchen (VerwFH);Nordkirchen;Nordrhein-Westfalen
H für Finanzen Rheinland-Pf. in Edenkoben (VerwFH);Edenkoben;Rheinland-Pfalz
H für Kommunik. u. Gestaltung in Stuttg.(Priv. FH);Stuttgart;Baden-Württemberg
H für öff. Verw. Rheinland-Pfalz in Mayen (VerwFH);Mayen;Rheinland-Pfalz
H Mittweida (University of Applied Sciences) (FH);Mittweida;Sachsen
H RheinMain in Geisenheim (FH) (ab 2013 zu HS2200);Geisenheim;Hessen
H Ruhr-West in Mülheim (FH);Mülheim an der Ruhr;Nordrhein-Westfalen
H Wilhelmsh./Oldenb./Elsfleth in Elsfleth (FH);Elsfleth;Niedersachsen
